Category: All categories

Day,Final Fantasy XIV: (United States)
2021-04-17,31
2021-04-18,24
2021-04-19,34
2021-04-20,24
2021-04-21,21
2021-04-22,24
2021-04-23,14
2021-04-24,34
2021-04-25,32
2021-04-26,24
2021-04-27,11
2021-04-28,23
2021-04-29,29
2021-04-30,12
2021-05-01,27
2021-05-02,26
2021-05-03,18
2021-05-04,23
2021-05-05,14
2021-05-06,28
2021-05-07,16
2021-05-08,38
2021-05-09,15
2021-05-10,10
2021-05-11,27
2021-05-12,32
2021-05-13,10
2021-05-14,23
2021-05-15,95
2021-05-16,46
2021-05-17,50
2021-05-18,35
2021-05-19,35
2021-05-20,23
2021-05-21,35
2021-05-22,30
2021-05-23,34
2021-05-24,27
2021-05-25,39
2021-05-26,30
2021-05-27,25
2021-05-28,49
2021-05-29,31
2021-05-30,34
2021-05-31,43
2021-06-01,48
2021-06-02,18
2021-06-03,23
2021-06-04,23
2021-06-05,49
2021-06-06,52
2021-06-07,42
2021-06-08,38
2021-06-09,32
2021-06-10,29
2021-06-11,41
2021-06-12,52
2021-06-13,41
2021-06-14,31
2021-06-15,42
2021-06-16,40
2021-06-17,42
2021-06-18,34
2021-06-19,45
2021-06-20,39
2021-06-21,36
2021-06-22,25
2021-06-23,27
2021-06-24,42
2021-06-25,37
2021-06-26,62
2021-06-27,48
2021-06-28,32
2021-06-29,47
2021-06-30,56
2021-07-01,34
2021-07-02,23
2021-07-03,49
2021-07-04,100
2021-07-05,78
2021-07-06,62
2021-07-07,54
2021-07-08,67
2021-07-09,50
2021-07-10,69
2021-07-11,82
2021-07-12,76
2021-07-13,81
